name,latitude,longitude,street,city,state,zip,phone,website
Trader Joe's San Diego - Pacific Beach (21),32.8005438,-117.2406508,1640 Garnet Ave,San Diego,CA,92109,858-581-9101,https://locations.traderjoes.com/ca/san-diego/21/
Trader Joe's Cypress (Rossmoor) (242),33.8032103,-118.041489,5245 Katella Ave.,Cypress,CA,90720,714-220-4930,https://locations.traderjoes.com/ca/cypress/242/
Trader Joe's Pleasanton (66),37.69678710000001,-121.8768923,3903 Santa Rita Road,Pleasanton,CA,94588,925-468-0763,https://locations.traderjoes.com/ca/pleasanton/66/
Trader Joe's Santa Rosa Ave (178),38.4175177,-122.7120491,2100 Santa Rosa Ave,Santa Rosa,CA,95407,707-535-0788,https://locations.traderjoes.com/ca/santa-rosa/178/
Trader Joe's Santa Rosa - Cleveland Ave (75),38.47357100000001,-122.7323423,3225 Cleveland Ave,Santa Rosa,CA,95403,707-525-1406,https://locations.traderjoes.com/ca/santa-rosa/75/
Trader Joe's San Jose - Bollinger (232),37.3117915,-122.0309145,7250 Bollinger Rd,San Jose,CA,95129,408-873-7384,https://locations.traderjoes.com/ca/san-jose/232/
Trader Joe's San Jose - Old Almaden (63),37.2515268,-121.8793419,5353 Almaden Expressway #J-38,San Jose,CA,95118,408-264-8120,https://locations.traderjoes.com/ca/san-jose/63/
Trader Joe's San Jose - Coleman Ave (212),37.3409601,-121.9093975,635 Coleman Ave,San Jose,CA,95110,408-298-9731,https://locations.traderjoes.com/ca/san-jose/212/
Trader Joe's San Jose - Westgate West (62),37.293118,-121.9941404,5269 Prospect,San Jose,CA,95129,408-446-5055,https://locations.traderjoes.com/ca/san-jose/62/
Trader Joe's San Juan Capistrano (249),33.4961545,-117.6636584,32151 Camino Capistrano,San Juan Capistrano,CA,92675,949-496-4150,https://locations.traderjoes.com/ca/san-juan-capistrano/249/
Trader Joe's Culver City (251),33.98801,-118.3928504,6150 Slauson Ave,Culver City,CA,90230,310-313-0441,https://locations.traderjoes.com/ca/culver-city/251/
Trader Joe's Culver City (36),34.0252255,-118.3929931,9290 Culver Blvd,Culver City,CA,90232,310-202-1108,https://locations.traderjoes.com/ca/culver-city/36/
Trader Joe's Laguna Hills (39),33.6099179,-117.7027782,24231 Avenida De La Carlota,Laguna Hills,CA,92653,949-461-0927,https://locations.traderjoes.com/ca/laguna-hills/39/
Trader Joe's Mall of Orange (46),33.8234418,-117.8365462,2114 N Tustin St,Orange,CA,92865,714-283-5697,https://locations.traderjoes.com/ca/orange/46/
Trader Joe's Yorba Linda (176),33.8897262,-117.7921699,19655 Yorba Linda Blvd,Yorba Linda,CA,92886,714-970-0116,https://locations.traderjoes.com/ca/yorba-linda/176/
Trader Joe's Capitola (64),36.9777826,-121.970419,3555 Clares St #D,Capitola,CA,95010,831-464-0115,https://locations.traderjoes.com/ca/capitola/64/
Trader Joe's Monrovia (112),34.1378959,-118.0120901,604 W Huntington Dr,Monrovia,CA,91016,626-358-8884,https://locations.traderjoes.com/ca/monrovia/112/
Trader Joe's Fresno (8),36.8581135,-119.7823369,8478 N. Friant Road,Fresno,CA,93720,559-433-6478,https://locations.traderjoes.com/ca/fresno/8/
Trader Joe's La Mesa (24),32.7792966,-117.0056147,5495 Grossmont Center Dr,La Mesa,CA,91942,619-466-0105,https://locations.traderjoes.com/ca/la-mesa/24/
Trader Joe's Redding (219),40.5917021,-122.3571132,845 Browning St,Redding,CA,96003,530-223-4875,https://locations.traderjoes.com/ca/redding/219/
Trader Joe's Los Altos (127),37.3366744,-122.067397,2310 Homestead Rd,Los Altos,CA,94024,408-245-1917,https://locations.traderjoes.com/ca/los-altos/127/
Trader Joe's Modesto (9),37.6871676,-121.0494087,3250 Dale Road,Modesto,CA,95356,209-491-0445,https://locations.traderjoes.com/ca/modesto/9/
Trader Joe's Agoura Hills (247),34.1464374,-118.7565126,28941 Canwood St,Agoura Hills,CA,91301,818-865-8217,https://locations.traderjoes.com/ca/agoura-hills/247/
Trader Joe's Toluca Lake (54),34.151912,-118.3519298,10130 Riverside Dr,Toluca Lake,CA,91602,818-762-2787,https://locations.traderjoes.com/ca/toluca-lake/54/
Trader Joe's Valencia (13),34.4285684,-118.5382801,26517 Bouquet Canyon Rd,Santa Clarita,CA,91350,661-263-3796,https://locations.traderjoes.com/ca/santa-clarita/13/
Trader Joe's Little Rock (756),34.7482874,-92.40185389999999,11500 Financial Centre Pky,Little Rock,AR,72211,501-954-7659,https://locations.traderjoes.com/ar/little-rock/756/
Trader Joe's Williamsburg (657),37.2771382,-76.74781,5000 Settlers Market Blvd,Williamsburg,VA,23188,757-259-2135,https://locations.traderjoes.com/va/williamsburg/657/
Trader Joe's Charlottesville (661),38.0629829,-78.49148799999999,2025 Bond St.,Charlottesville,VA,22901,434-974-1466,https://locations.traderjoes.com/va/charlottesville/661/
Trader Joe's Newport News (656),37.1290527,-76.5150226,12551 Jefferson Ave,Newport News,VA,23602,757-890-0235,https://locations.traderjoes.com/va/newport-news/656/
Trader Joe's Springfield (651),38.7814916,-77.18907329999999,6394 Springfield Plaza,Springfield,VA,22150,703-569-9301,https://locations.traderjoes.com/va/springfield/651/
Trader Joe's Fairfax (643),38.8427152,-77.2703726,9464 Main St,Fairfax,VA,22031,703-764-8550,https://locations.traderjoes.com/va/fairfax/643/
Trader Joe's Alexandria (647),38.81078249999999,-77.0447925,612 N Saint Asaph St,Alexandria,VA,22314,703-548-0611,https://locations.traderjoes.com/va/alexandria/647/
Trader Joe's Ashburn (619),39.0503773,-77.45272899999999,44755 Brimfield Dr,Ashburn,VA,20147,703-858-5993,https://locations.traderjoes.com/va/ashburn/619/
Trader Joe's Richmond/Short Pump (659),37.6488915,-77.6068018,11331 W Broad St,Glen Allen,VA,23060,804-360-4098,https://locations.traderjoes.com/va/glen-allen/659/
Trader Joe's Virginia Beach (660),36.8486112,-76.0247752,503 Hilltop Plaza,Virginia Beach,VA,23454,757-422-4840,https://locations.traderjoes.com/va/virginia-beach/660/
Trader Joe's Centreville (654),38.8404178,-77.4327704,14100 Lee Hwy,Centreville,VA,20120,703-815-0697,https://locations.traderjoes.com/va/centreville/654/
Trader Joe's Falls Church - Tyson's Station (641),38.9045005,-77.20364339999999,7514 Leesburg Turnpike,Falls Church,VA,22043,703-288-0566,https://locations.traderjoes.com/va/falls-church/641/
Trader Joe's Richmond (786),37.5389022,-77.5642704,3000 Stony Point Rd,Richmond,VA,23235,804-323-4292,https://locations.traderjoes.com/va/richmond/786/
Trader Joe's Reston (646),38.96729140000001,-77.358986,11958 Killingsworth Ave,Reston,VA,20194,703-689-0865,https://locations.traderjoes.com/va/reston/646/
Trader Joe's Arlington - Clarendon (640),38.886684,-77.094641,1109 N Highland St,Arlington,VA,22201,703-351-8015,https://locations.traderjoes.com/va/arlington/640/
Trader Joe's Bailey's Crossroads (644),38.85094650000001,-77.1325884,5847 Leesburg Pike,Bailey's Crossroads,VA,22041,703-379-5883,https://locations.traderjoes.com/va/bailey-s-crossroads/644/
Trader Joe's Chesterfield (693),38.6448826,-90.56636240000002,1679 Clarkson Rd,Chesterfield,MO,63017,636-536-7846,https://locations.traderjoes.com/mo/chesterfield/693/
Trader Joe's Des Peres (695),38.601039,-90.46715560000001,13343 Manchester Rd,Des Peres,MO,63131,314-984-5051,https://locations.traderjoes.com/mo/des-peres/695/
Trader Joe's Creve Coeur (694),38.6719545,-90.4364196,11505 Olive Blvd,Creve Coeur,MO,63141,314-569-0427,https://locations.traderjoes.com/mo/creve-coeur/694/
Trader Joe's Kansas City (720),38.9729251,-94.6055446,8600 Ward Pkwy,Kansas City,MO,64114,816-333-5322,https://locations.traderjoes.com/mo/kansas-city/720/
Trader Joe's Brentwood (692),38.6273335,-90.3412312,48 Brentwood Promenade Court,Brentwood,MO,63144,314-963-0253,https://locations.traderjoes.com/mo/brentwood/692/
Trader Joe's Newington/Portsmouth (520),43.0950622,-70.8010319,45 Gosling Rd,Portsmouth,NH,03801,603-431-2654,https://locations.traderjoes.com/nh/portsmouth/520/
Trader Joe's Bedford (562),42.95349119999999,-71.47733629999999,2 Market Street,Bedford,NH,03110,603-222-3074,https://locations.traderjoes.com/nh/bedford/562/
Trader Joe's Nashua (507),42.70801489999999,-71.4384243,262 Daniel Webster HWY,Nashua,NH,03060,603-888-5460,https://locations.traderjoes.com/nh/nashua/507/
Trader Joe's Everett (139),47.9107208,-122.2213893,811 SE Everett Mall Way,Everett,WA,98208,425-513-2210,https://locations.traderjoes.com/wa/everett/139/
Trader Joe's Burien (133),47.460074,-122.3313908,15868 1st Ave S,Burien,WA,98148,206-901-9339,https://locations.traderjoes.com/wa/burien/133/
Trader Joe's Bellingham (151),48.76212599999999,-122.463924,2410 James St,Bellingham,WA,98225,360-734-5166,https://locations.traderjoes.com/wa/bellingham/151/
Trader Joe's Redmond (140),47.675818,-122.1279924,15932 Redmond Way,Redmond,WA,98052,425-883-1624,https://locations.traderjoes.com/wa/redmond/140/
Trader Joe's Kent (163),47.3585623,-122.167947,12966 SE Kent-Kangley Rd,Kent,WA,98030,253-639-3419,https://locations.traderjoes.com/wa/kent/163/
Trader Joe's Federal Way (134),47.3169255,-122.3109368,1758 S 320th St,Federal Way,WA,98003,253-941-6138,https://locations.traderjoes.com/wa/federal-way/134/
Trader Joe's Vancouver (136),45.61879649999999,-122.5543273,305 SE Chkalov Dr,Vancouver,WA,98683,360-883-9000,https://locations.traderjoes.com/wa/vancouver/136/
Trader Joe's Bellevue (131),47.6307602,-122.1334287,15563 NE 24th St,Bellevue,WA,98007,425-641-5069,https://locations.traderjoes.com/wa/bellevue/131/
Trader Joe's Bellevue (162),47.6137855,-122.1853415,416 116th Ave NE,Bellevue,WA,98004,425-454-9799,https://locations.traderjoes.com/wa/bellevue/162/
Trader Joe's Kirkland (132),47.7115288,-122.1799597,12520 Totem Lake Blvd NE,Kirkland,WA,98034,425-814-9181,https://locations.traderjoes.com/wa/kirkland/132/
Trader Joe's Olympia (156),47.0330641,-122.9381771,1530 Black Lake Blvd SW,Olympia,WA,98502,360-352-7440,https://locations.traderjoes.com/wa/olympia/156/
Trader Joe's University Place (148),47.2230636,-122.5381784,3800 Bridgeport Way W,University Place,WA,98466,253-460-2672,https://locations.traderjoes.com/wa/university-place/148/
Trader Joe's Sammamish (160),47.6136468,-122.0337856,490 228th Ave NE,Sammamish,WA,98074,425-836-0837,https://locations.traderjoes.com/wa/sammamish/160/
Trader Joe's Seattle - Queen Anne Hill (135),47.63661219999999,-122.3566321,1916 Queen Anne Ave N,Seattle,WA,98109,206-284-2546,https://locations.traderjoes.com/wa/seattle/135/
Trader Joe's Seattle - U District (137),47.66261009999999,-122.3175931,4555 Roosevelt Way NE,Seattle,WA,98105,206-547-6299,https://locations.traderjoes.com/wa/seattle/137/
Trader Joe's West Seattle (157),47.5619296,-122.3810293,4545 Fauntleroy Way SW,Seattle,WA,98116,206-913-0013,https://locations.traderjoes.com/wa/seattle/157/
Trader Joe's Ballard (147),47.6625019,-122.3738473,4609 14th Ave NW,Seattle,WA,98107,206-783-0498,https://locations.traderjoes.com/wa/seattle/147/
Trader Joe's Seattle - Capitol Hill (130),47.6160065,-122.3097059,1700 Madison St,Seattle,WA,98122,206-322-7268,https://locations.traderjoes.com/wa/seattle/130/
Trader Joe's Issaquah (138),47.5439787,-122.0522419,975 NW Gilman Blvd,Issaquah,WA,98027,425-557-6420,https://locations.traderjoes.com/wa/issaquah/138/
Trader Joe's Silverdale (158),47.6554254,-122.6831633,9991 Mickelberry Rd,Silverdale,WA,98383,360-307-7224,https://locations.traderjoes.com/wa/silverdale/158/
Trader Joe's Shoreline (270),47.75491479999999,-122.3433056,1201 N 175th St,Shoreline,WA,98133,206-542-5336,https://locations.traderjoes.com/wa/shoreline/270/
Trader Joe's Spokane N (164),47.7088991,-117.409297,5520 N Division St,Spokane,WA,99208,509-487-4188,https://locations.traderjoes.com/wa/spokane/164/
Trader Joe's Spokane (159),47.6289661,-117.3666428,2975 East 29th Ave,Spokane,WA,99223,509-534-1077,https://locations.traderjoes.com/wa/spokane/159/
Trader Joe's Lynnwood (129),47.8196337,-122.313765,19715 Highway 99,Lynnwood,WA,98036,425-670-0623,https://locations.traderjoes.com/wa/lynnwood/129/
Trader Joe's San Antonio - Sonterra Village (455),29.6092997,-98.49895339999999,403 N Loop 1604 W,San Antonio,TX,78232,210-545-3123,https://locations.traderjoes.com/tx/san-antonio/455/
Trader Joe's San Antonio (451),29.496703,-98.47803019999999,350 East Basse Road,San Antonio,TX,78209,210-826-1110,https://locations.traderjoes.com/tx/san-antonio/451/
Trader Joe's The Woodlands (428),30.1755966,-95.5353996,10868 Kuykendahl Road,The Woodlands,TX,77381,281-465-0254,https://locations.traderjoes.com/tx/the-woodlands/428/
Trader Joe's McKinney (408),33.1736968,-96.6428744,2851 Craig Dr Ste 100,McKinney,TX,75070,214-491-1893,https://locations.traderjoes.com/tx/mckinney/408/
Trader Joe's Dallas  -  Lower Greenville (403),32.8148219,-96.77056569999999,2001 Greenville Ave,Dallas,TX,75206,469-334-0614,https://locations.traderjoes.com/tx/dallas/403/
Trader Joe's Dallas North (401),32.8805703,-96.77228079999999,7939 Walnut Hill Lane,Dallas,TX,75230,214-346-6579,https://locations.traderjoes.com/tx/dallas/401/
Trader Joe's Dallas Knox (400),32.8222586,-96.7896609,4525 Cole Ave,Dallas,TX,75205,214-599-2155,https://locations.traderjoes.com/tx/dallas/400/
Trader Joe's Dallas Far North (407),32.9508704,-96.8028234,14856 Preston Rd,Dallas,TX,75254,972-239-3901,https://locations.traderjoes.com/tx/dallas/407/
Trader Joe's Dallas West (405),32.8507073,-96.81809380000001,5550 W Lovers Lane,Dallas,TX,75209,214-366-0205,https://locations.traderjoes.com/tx/dallas/405/
Trader Joe's Fort Worth (404),32.7119773,-97.3851284,2701 S Hulen St,Fort Worth,TX,76109,817-922-9107,https://locations.traderjoes.com/tx/fort-worth/404/
Trader Joe's Plano (402),33.02923200000001,-96.7928213,2400 Preston Rd,Plano,TX,75093,972-312-9538,https://locations.traderjoes.com/tx/plano/402/
Trader Joe's Austin - Seaholm (452),30.2674966,-97.7527899,"211 Walter Seaholm Dr, Ste 100",Austin,TX,78701,512-474-2263,https://locations.traderjoes.com/tx/austin/452/
Trader Joe's Austin - Northwest (454),30.3955849,-97.7517712,9722 Great Hills Trail,Austin,TX,78759,512-241-1248,https://locations.traderjoes.com/tx/austin/454/
Trader Joe's Austin - Rollingwood (453),30.2701339,-97.78981139999999,2805 Bee Cave Rd,Austin,TX,78746,512-306-1032,https://locations.traderjoes.com/tx/austin/453/
Trader Joe's Houston - S Voss Rd (427),29.7527125,-95.5016672,1440 South Voss Road,Houston,TX,77057,713-266-2377,https://locations.traderjoes.com/tx/houston/427/
Trader Joe's Houston - West (431),29.7354063,-95.5824872,11683 Westheimer Rd,Houston,TX,77077,281-496-2488,https://locations.traderjoes.com/tx/houston/431/
Trader Joe's Houston - Alabama Theater (426),29.7392113,-95.4113227,2922 S Shepherd Drive,Houston,TX,77098,713-526-4034,https://locations.traderjoes.com/tx/houston/426/
Trader Joe's Katy (Cinco Ranch) (429),29.7404838,-95.7746398,2717 Commercial Center Blvd,Katy,TX,77494,281-392-4200,https://locations.traderjoes.com/tx/katy/429/
Trader Joe's Southlake (406),32.9413307,-97.12941789999999,1492 E Southlake Blvd,Southlake,TX,76092,817-251-0360,https://locations.traderjoes.com/tx/southlake/406/
Trader Joe's Saugus (506),42.4834902,-71.01755399999999,358 Broadway,Saugus,MA,01906,781-231-0848,https://locations.traderjoes.com/ma/saugus/506/
Trader Joe's Acton (511),42.4827877,-71.4140695,145 Great Rd,Acton,MA,01720,978-266-8908,https://locations.traderjoes.com/ma/acton/511/
Trader Joe's Allston (561),42.3635097,-71.1298352,199 North Harvard Street,Allston,MA,02134,617-787-1238,https://locations.traderjoes.com/ma/allston/561/
Trader Joe's Hingham (530),42.2490667,-70.92379679999999,5 Essington Drive,Hingham,MA,02043,781-740-2038,https://locations.traderjoes.com/ma/hingham/530/
Trader Joe's Shrewsbury (508),42.2755332,-71.74983089999999,77 Boston Turnpike,Shrewsbury,MA,01545,508-755-9560,https://locations.traderjoes.com/ma/shrewsbury/508/
Trader Joe's Burlington (515),42.473428,-71.2106665,51 Middlesex Turnpike,Burlington,MA,01803,781-273-2310,https://locations.traderjoes.com/ma/burlington/515/
Trader Joe's Hyannis (514),41.6662989,-70.29237839999999,655 Iyannough Road Rt 132,Hyannis,MA,02601,508-790-3008,https://locations.traderjoes.com/ma/hyannis/514/
Trader Joe's West Newton (509),42.3498414,-71.2194473,1121 Washington St,West Newton,MA,02465,617-244-1620,https://locations.traderjoes.com/ma/west-newton/509/
Trader Joe's Framingham (503),42.2991676,-71.42483419999999,659 Worcester Rd,Framingham,MA,01701,508-935-2931,https://locations.traderjoes.com/ma/framingham/503/
Trader Joe's Somerville (560),42.39663669999999,-71.0824148,145 Middlesex Ave,Somerville,MA,02145,617-591-0124,https://locations.traderjoes.com/ma/somerville/560/
Trader Joe's Peabody (516),42.5503856,-70.95644120000001,300 Andover St,Peabody,MA,01960,978-977-5316,https://locations.traderjoes.com/ma/peabody/516/
Trader Joe's Foxborough - Patriot Place (528),42.0862886,-71.27023059999999,350 Patriot Place,Foxborough,MA,02035,508-543-1978,https://locations.traderjoes.com/ma/foxborough/528/
Trader Joe's Fort Point Seaport (566),42.3518568,-71.0472681,44 Thomson Place,Boston,MA,02210,617-941-3714,https://locations.traderjoes.com/ma/boston/566/
Trader Joe's Boston - Back Bay (510),42.3484566,-71.0840861,899 Boylston St,Boston,MA,02115,617-262-6505,https://locations.traderjoes.com/ma/boston/510/
Trader Joe's Hanover (513),42.122497,-70.83161419999999,1775 Washington St,Hanover,MA,02339,781-826-5389,https://locations.traderjoes.com/ma/hanover/513/
Trader Joe's Hadley (512),42.3577603,-72.5493664,375 Russell St,Hadley,MA,01035,413-587-3260,https://locations.traderjoes.com/ma/hadley/512/
Trader Joe's Arlington (505),42.42538589999999,-71.1885087,1427 Massachusetts Ave,Arlington,MA,02476,781-646-9138,https://locations.traderjoes.com/ma/arlington/505/
Trader Joe's Needham Heights (504),42.2923534,-71.2351992,958 Highland Ave,Needham,MA,02494,781-449-6993,https://locations.traderjoes.com/ma/needham/504/
Trader Joe's Brookline (501),42.3419605,-71.1204815,1317 Beacon St,Brookline,MA,02446,617-278-9997,https://locations.traderjoes.com/ma/brookline/501/
Trader Joe's Cambridge (502),42.3582624,-71.1141683,748 Memorial Dr,Cambridge,MA,02139,617-491-8582,https://locations.traderjoes.com/ma/cambridge/502/
Trader Joe's Cambridge Fresh Pond (517),42.3899646,-71.1436447,211 Alewife Brook Pkwy,Cambridge,MA,02138,617-498-3201,https://locations.traderjoes.com/ma/cambridge/517/
Trader Joe's Ann Arbor (678),42.258405,-83.71302250000001,2398 East Stadium Blvd,Ann Arbor,MI,48104,734-975-2455,https://locations.traderjoes.com/mi/ann-arbor/678/
Trader Joe's Northville (667),42.4227596,-83.4335885,18771 Traditions Drive,Northville,MI,48167,248-349-4909,https://locations.traderjoes.com/mi/northville/667/
Trader Joe's Kalamazoo (708),42.2701259,-85.6499899,5099 Century Ave,Kalamazoo,MI,49006,269-372-2049,https://locations.traderjoes.com/mi/kalamazoo/708/
Trader Joe's Rochester Hills (668),42.6829545,-83.1951258,3044 Walton Blvd,Rochester Hills,MI,48309,248-375-2190,https://locations.traderjoes.com/mi/rochester-hills/668/
Trader Joe's Grand Rapids - Kentwood (707),42.911965,-85.5766871,3684 28th St SE,Kentwood,MI,49512,616-977-1819,https://locations.traderjoes.com/mi/kentwood/707/
Trader Joe's Royal Oak (674),42.4954182,-83.163695,27880 Woodward Ave,Royal Oak,MI,48067,248-582-9002,https://locations.traderjoes.com/mi/royal-oak/674/
Trader Joe's Grosse Pointe (665),42.389772,-82.915887,17028 Kercheval Ave,Grosse Pointe,MI,48230,313-640-7794,https://locations.traderjoes.com/mi/grosse-pointe/665/
Trader Joe's Bloomfield Hills (675),42.5441271,-83.28676349999999,6536 Telegraph Rd,Bloomfield Hills,MI,48301,248-855-2283,https://locations.traderjoes.com/mi/bloomfield-hills/675/
Trader Joe's Asheville (740),35.6030447,-82.5535768,120 Merrimon Ave,Asheville,NC,28801,828-232-5078,https://locations.traderjoes.com/nc/asheville/740/
Trader Joe's Charlotte (744),35.2118507,-80.8356919,1133 Metropolitan Ave,Charlotte,NC,28204,704-334-0737,https://locations.traderjoes.com/nc/charlotte/744/
Trader Joe's Charlotte - Piper Glen (742),35.0788563,-80.8179279,6418 Rea Rd,Charlotte,NC,28277,704-543-5249,https://locations.traderjoes.com/nc/charlotte/742/
Trader Joe's Charlotte - North (743),35.3368095,-80.7545264,1820 E Arbors Dr,Charlotte,NC,28262,704-688-9578,https://locations.traderjoes.com/nc/charlotte/743/
Trader Joe's Wilmington (747),34.2107721,-77.8857637,1437 S College Rd,Wilmington,NC,28403,910-395-5173,https://locations.traderjoes.com/nc/wilmington/747/
Trader Joe's Morrisville (791),35.8094682,-78.8176467,951 Morrisville Parkway,Morrisville,NC,27560,919-460-4449,https://locations.traderjoes.com/nc/morrisville/791/
Trader Joe's Cary (741),35.758902,-78.7815442,1393 Kildaire Farm Rd,Cary,NC,27511,919-465-5984,https://locations.traderjoes.com/nc/cary/741/
Trader Joe's Raleigh (746),35.8232408,-78.62171120000001,3000 Wake Forest Rd,Raleigh,NC,27609,919-981-7422,https://locations.traderjoes.com/nc/raleigh/746/
Trader Joe's Greensboro (750),36.1312909,-79.8577703,3721 Battleground Ave.,Greensboro,NC,27410,336-286-7859,https://locations.traderjoes.com/nc/greensboro/750/
Trader Joe's Winston Salem (749),36.0930435,-80.28191439999999,252 South Stratford Road,Winston Salem,NC,27103,336-721-1744,https://locations.traderjoes.com/nc/winston-salem/749/
Trader Joe's Chapel Hill (745),35.93548450000001,-79.0263848,1800 E Franklin St,Chapel Hill,NC,27514,919-918-7871,https://locations.traderjoes.com/nc/chapel-hill/745/
Trader Joe's Glover Park (620),38.91753629999999,-77.0687234,2101 Wisconsin Ave NW Suite A,Washington,DC,20007,202-944-8403,https://locations.traderjoes.com/dc/washington/620/
Trader Joe's Washington - 14th St (662),38.9160454,-77.0321896,1914 14th St NW,Washington,DC,20009,202-986-1591,https://locations.traderjoes.com/dc/washington/662/
Trader Joe's Washington - Union Market District (621),38.9074813,-77.0007481,350 Florida Ave. NE,Washington,DC,20002,202-608-1023,https://locations.traderjoes.com/dc/washington/621/
Trader Joe's Washington - 25th St (653),38.90413179999999,-77.0529834,1101 25th Street NW,Washington,DC,20037,202-296-1921,https://locations.traderjoes.com/dc/washington/653/
Trader Joe's Washington - Capitol Hill (622),38.884738,-76.995426,750 Pennsylvania Ave SE,Washington,DC,20003,202-698-0190,https://locations.traderjoes.com/dc/washington/622/
Trader Joe's Indianapolis - Castleton (671),39.9037062,-86.0751813,5473 E 82nd St,Indianapolis,IN,46250,317-595-8950,https://locations.traderjoes.com/in/indianapolis/671/
Trader Joe's Indianapolis - W 86th (670),39.9125685,-86.2117997,2902 W 86th St,Indianapolis,IN,46268,317-337-1880,https://locations.traderjoes.com/in/indianapolis/670/
Trader Joe's Fort Wayne (757),41.0717432,-85.1953587,4110 W. Jefferson Blvd.,Fort Wayne,IN,46804,260-432-5828,https://locations.traderjoes.com/in/fort-wayne/757/
Trader Joe's South Bend (600),41.68816959999999,-86.2451059,1140 East Howard,South Bend,IN,46617,574-472-8744,https://locations.traderjoes.com/in/south-bend/600/
Trader Joe's Boise (360),43.6130541,-116.2037682,300 S Capitol Blvd,Boise,ID,83702,208-336-7282,https://locations.traderjoes.com/id/boise/360/
Trader Joe's Meridian (361),43.6320685,-116.3518756,2986 N. Eagle RD.,Meridian,ID,83646,208-506-2978,https://locations.traderjoes.com/id/meridian/361/
Trader Joe's Albuquerque (166),35.175132,-106.5426633,8928 Holly Ave NE,Albuquerque,NM,87122,505-796-0311,https://locations.traderjoes.com/nm/albuquerque/166/
Trader Joe's Albuquerque (167),35.1022335,-106.5654968,2200 Uptown Loop NE,Albuquerque,NM,87110,505-883-3662,https://locations.traderjoes.com/nm/albuquerque/167/
Trader Joe's Santa Fe (165),35.6729716,-105.953372,530 W Cordova Rd,Santa Fe,NM,87505,505-995-8145,https://locations.traderjoes.com/nm/santa-fe/165/
Trader Joe's Metairie (755),30.0044051,-90.15205879999999,2949 Veterans Blvd,Metairie,LA,70002,504-831-0253,https://locations.traderjoes.com/la/metairie/755/
Trader Joe's Baton Rouge (754),30.4219289,-91.15381289999999,3535 Perkins Rd,Baton Rouge,LA,70808,225-382-0588,https://locations.traderjoes.com/la/baton-rouge/754/
Trader Joe's Scarsdale (531),40.97233749999999,-73.80487,727 White Plains Rd,Scarsdale,NY,10583,914-472-2988,https://locations.traderjoes.com/ny/scarsdale/531/
Trader Joe's Amherst (536),42.997896,-78.82171749999999,1565 Niagara Falls Blvd,Buffalo,NY,14228,716-833-4687,https://locations.traderjoes.com/ny/buffalo/536/
Trader Joe's Syracuse (537),43.0462423,-76.07064629999999,3422 Erie Blvd E,Syracuse,NY,13214,315-446-1629,https://locations.traderjoes.com/ny/syracuse/537/
Trader Joe's Westbury (550),40.7443902,-73.6039002,910 Old Country Rd,Garden City,NY,11530,516-794-0174,https://locations.traderjoes.com/ny/garden-city/550/
Trader Joe's Hewlett (554),40.6392018,-73.70172029999999,1280 West Broadway,Hewlett,NY,11557,516-569-7191,https://locations.traderjoes.com/ny/hewlett/554/
Trader Joe's Halfmoon (574),42.859042,-73.7664479,3 Halfmoon Crossing Blvd,Halfmoon,NY,12065,518-383-5015,https://locations.traderjoes.com/ny/halfmoon/574/
Trader Joe's Larchmont (532),40.9383639,-73.7464526,1260 Boston Post Rd,Larchmont,NY,10538,914-833-9112,https://locations.traderjoes.com/ny/larchmont/532/
Trader Joe's Yorktown (567),41.2916645,-73.824354,3240 Crompond Road,Yorktown,NY,10598,914-737-1460,https://locations.traderjoes.com/ny/yorktown/567/
Trader Joe's Plainview (555),40.7817125,-73.5015006,425 S Oyster Bay Rd,Plainview,NY,11803,516-933-6900,https://locations.traderjoes.com/ny/plainview/555/
Trader Joe's Rochester (534),43.10128840000001,-77.5383647,3349 Monroe Ave,Rochester,NY,14618,585-248-5011,https://locations.traderjoes.com/ny/rochester/534/
Trader Joe's Commack (551),40.8403293,-73.30748919999999,5900 Jericho Turnpike,Commack,NY,11725,631-499-0898,https://locations.traderjoes.com/ny/commack/551/
Trader Joe's Hartsdale (533),41.0255446,-73.7934729,215 N Central Ave,Hartsdale,NY,10530,914-997-1960,https://locations.traderjoes.com/ny/hartsdale/533/
Trader Joe's Lake Grove (556),40.8690995,-73.12930229999999,2085 Smith Haven Plaza,Lake Grove,NY,11755,631-366-2094,https://locations.traderjoes.com/ny/lake-grove/556/
Trader Joe's Long Island City (565),40.745854,-73.94620100000002,22-43 Jackson Ave,Queens,NY,11101,718-472-2672,https://locations.traderjoes.com/ny/queens/565/
Trader Joe's Forest Hills (578),40.722582,-73.84857269999999,69-65 Yellowstone Blvd,Queens,NY,11375,,https://locations.traderjoes.com/ny/queens/578/
Trader Joe's Rego Park (557),40.7112267,-73.85834299999999,9030 Metropolitan Ave,Queens,NY,11374,718-275-1791,https://locations.traderjoes.com/ny/queens/557/
Trader Joe's Ithaca (568),42.4286126,-76.5102534,744 S Meadow Street,Ithaca,NY,14850,607-272-1420,https://locations.traderjoes.com/ny/ithaca/568/
Trader Joe's Oceanside (552),40.6268403,-73.6411574,3418 Long Beach Rd,Oceanside,NY,11572,516-536-9163,https://locations.traderjoes.com/ny/oceanside/552/
Trader Joe's Staten Island (559),40.5896623,-74.1657412,2385 Richmond Ave,Staten Island,NY,10314,718-370-1085,https://locations.traderjoes.com/ny/staten-island/559/
